Port,Group1L,"","","","","",Group1R,"","","","","",Group2L,"","","","","",Group2R,"","","","","",Group3L,"","","","","",Group3R,"","","","","",Group4L,"","","","","",Group4R,"","","","","",Group5L,"","","","","",Group5R,"","","","","",Group6L,"","","","","",Group6R,"","","","","",Group7L,"","","","","",Group7R,"","","","","",Group8L,"","","","","",Group8R,"","","","","",Group9L,"","","","","",Group9R,"","","","","",Group10L,"","","","","",Group10R,"","","","","",Group11L,"","","","","",Group11R,"","","","","",Group12L,"","","","","",Group12R,"","","","","",Group13L,"","","","","",Group13R,"","","","","",Group14L,"","","","","",Group14R,"","","","","",Group15L,"","","","","",Group15R,"","","","","",Group16L,"","","","","",Group16R,"","","","","",Group17L,"","","","","",Group17R,"","","","","",Group18L,"","","","","",Group18R,"","","","","",Group19L,"","","","","",Group19R,"","","","","",Group20L,"","","","","",Group20R,"","","","","",Group21L,"","","","","",Group21R,"","","","","",Group22L,"","","","","",Group22R,"","","","","",Group23L,"","","","","",Group23R,"","","","","",Group24L,"","","","","",Group24R,"","","","",""
Step,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm
Value 1,0,2,0,10,0,70,0,2,0,10,0,70,0,0,0,0,0,70,0,0,0,0,0,70,0,2,0,10,0,70,0,2,0,10,0,70,0,2,0,10,0,70,0,2,0,10,0,70,0,2,0,10,0,70,0,2,0,10,0,70,0,0,0,0,0,70,0,0,0,0,0,70,0,0,0,0,0,70,0,0,0,0,0,70,0,0,0,0,0,70,0,0,0,0,0,70,0,0,0,0,0,70,0,0,0,0,0,70,0,0,0,0,0,70,0,0,0,0,0,70,0,0,0,0,0,70,0,0,0,0,0,70,0,0,0,0,0,70,0,0,0,0,0,70,0,0,0,0,0,70,0,0,0,0,0,70,0,2,0,10,0,70,0,2,0,10,0,70,0,0,0,0,0,70,0,0,0,0,0,70,0,0,0,0,0,70,0,0,0,0,0,70,0,0,0,0,0,70,0,0,0,0,0,70,0,0,0,0,0,70,0,0,0,0,0,70,0,0,0,0,0,70,0,0,0,0,0,70,0,0,0,0,0,70,0,0,0,0,0,70,0,0,0,0,0,70,0,0,0,0,0,70,0,0,0,0,0,70,0,0,0,0,0,70,0,0,0,0,0,70,0,0,0,0,0,70,0,0,0,0,0,70,0,0,0,0,0,70
Value 2,1,0,0,0,0,25,1,0,0,0,0,25,1,0,0,0,0,25,1,0,0,0,0,25,1,12,0,10,0,25,1,12,0,10,0,25,1,0,0,0,0,25,1,0,0,0,0,25,1,1,0,10,0,25,1,1,0,10,0,25,1,0,0,0,0,25,1,0,0,0,0,25,1,0,0,0,0,25,1,0,0,0,0,25,1,0,0,0,0,25,1,0,0,0,0,25,1,0,0,0,0,25,1,0,0,0,0,25,1,0,0,0,0,25,1,0,0,0,0,25,1,0,0,0,0,25,1,0,0,0,0,25,1,0,0,0,0,25,1,0,0,0,0,25,1,0,0,0,0,25,1,0,0,0,0,25,1,1,0,10,0,25,1,1,0,10,0,25,1,0,0,0,0,25,1,0,0,0,0,25,1,0,0,0,0,25,1,0,0,0,0,25,1,0,0,0,0,25,1,0,0,0,0,25,1,0,0,0,0,25,1,0,0,0,0,25,1,0,0,0,0,25,1,0,0,0,0,25,1,0,0,0,0,25,1,0,0,0,0,25,1,0,0,0,0,25,1,0,0,0,0,25,1,0,0,0,0,25,1,0,0,0,0,25,1,0,0,0,0,25,1,0,0,0,0,25,1,0,0,0,0,25,1,0,0,0,0,25
Value 3,2,0,0,0,0,25,2,0,0,0,0,25,2,0,0,0,0,25,2,0,0,0,0,25,2,0,0,0,0,25,2,0,0,0,0,25,2,0,0,0,0,25,2,0,0,0,0,25,2,0,0,0,0,25,2,0,0,0,0,25,2,0,0,0,0,25,2,0,0,0,0,25,2,0,0,0,0,25,2,0,0,0,0,25,2,0,0,0,0,25,2,0,0,0,0,25,2,0,0,0,0,25,2,0,0,0,0,25,2,0,0,0,0,25,2,0,0,0,0,25,2,0,0,0,0,25,2,0,0,0,0,25,2,0,0,0,0,25,2,0,0,0,0,25,2,0,0,0,0,25,2,0,0,0,0,25,2,0,0,0,0,25,2,0,0,0,0,25,2,0,0,0,0,25,2,0,0,0,0,25,2,0,0,0,0,25,2,0,0,0,0,25,2,0,0,0,0,25,2,0,0,0,0,25,2,0,0,0,0,25,2,0,0,0,0,25,2,0,0,0,0,25,2,0,0,0,0,25,2,0,0,0,0,25,2,0,0,0,0,25,2,0,0,0,0,25,2,0,0,0,0,25,2,0,0,0,0,25,2,0,0,0,0,25,2,0,0,0,0,25,2,0,0,0,0,25,2,0,0,0,0,25,2,0,0,0,0,25
Value 4,3,0,0,0,0,25,3,0,0,0,0,25,3,0,0,0,0,25,3,0,0,0,0,25,3,12,0,10,0,25,3,12,0,10,0,25,3,0,0,0,0,25,3,0,0,0,0,25,3,1,0,10,0,25,3,1,0,10,0,25,3,0,0,0,0,25,3,0,0,0,0,25,3,0,0,0,0,25,3,0,0,0,0,25,3,0,0,0,0,25,3,0,0,0,0,25,3,0,0,0,0,25,3,0,0,0,0,25,3,0,0,0,0,25,3,0,0,0,0,25,3,0,0,0,0,25,3,0,0,0,0,25,3,0,0,0,0,25,3,0,0,0,0,25,3,0,0,0,0,25,3,0,0,0,0,25,3,1,0,10,0,25,3,1,0,10,0,25,3,0,0,0,0,25,3,0,0,0,0,25,3,0,0,0,0,25,3,0,0,0,0,25,3,0,0,0,0,25,3,0,0,0,0,25,3,0,0,0,0,25,3,0,0,0,0,25,3,0,0,0,0,25,3,0,0,0,0,25,3,0,0,0,0,25,3,0,0,0,0,25,3,0,0,0,0,25,3,0,0,0,0,25,3,0,0,0,0,25,3,0,0,0,0,25,3,0,0,0,0,25,3,0,0,0,0,25,3,0,0,0,0,25,3,0,0,0,0,25
Value 5,4,0,0,0,0,25,4,0,0,0,0,25,4,0,0,0,0,25,4,0,0,0,0,25,4,0,0,0,0,25,4,0,0,0,0,25,4,0,0,0,0,25,4,0,0,0,0,25,4,0,0,0,0,25,4,0,0,0,0,25,4,0,0,0,0,25,4,0,0,0,0,25,4,0,0,0,0,25,4,0,0,0,0,25,4,0,0,0,0,25,4,0,0,0,0,25,4,0,0,0,0,25,4,0,0,0,0,25,4,0,0,0,0,25,4,0,0,0,0,25,4,0,0,0,0,25,4,0,0,0,0,25,4,0,0,0,0,25,4,0,0,0,0,25,4,0,0,0,0,25,4,0,0,0,0,25,4,0,0,0,0,25,4,0,0,0,0,25,4,0,0,0,0,25,4,0,0,0,0,25,4,0,0,0,0,25,4,0,0,0,0,25,4,0,0,0,0,25,4,0,0,0,0,25,4,0,0,0,0,25,4,0,0,0,0,25,4,0,0,0,0,25,4,0,0,0,0,25,4,0,0,0,0,25,4,0,0,0,0,25,4,0,0,0,0,25,4,0,0,0,0,25,4,0,0,0,0,25,4,0,0,0,0,25,4,0,0,0,0,25,4,0,0,0,0,25,4,0,0,0,0,25,4,0,0,0,0,25
Value 6,5,0,0,0,0,25,5,0,0,0,0,25,5,0,0,0,0,25,5,0,0,0,0,25,5,12,0,10,0,25,5,12,0,10,0,25,5,0,0,0,0,25,5,0,0,0,0,25,5,1,0,10,0,25,5,1,0,10,0,25,5,0,0,0,0,25,5,0,0,0,0,25,5,0,0,0,0,25,5,0,0,0,0,25,5,0,0,0,0,25,5,0,0,0,0,25,5,0,0,0,0,25,5,0,0,0,0,25,5,0,0,0,0,25,5,0,0,0,0,25,5,0,0,0,0,25,5,0,0,0,0,25,5,0,0,0,0,25,5,0,0,0,0,25,5,0,0,0,0,25,5,0,0,0,0,25,5,1,0,10,0,25,5,1,0,10,0,25,5,0,0,0,0,25,5,0,0,0,0,25,5,0,0,0,0,25,5,0,0,0,0,25,5,0,0,0,0,25,5,0,0,0,0,25,5,0,0,0,0,25,5,0,0,0,0,25,5,0,0,0,0,25,5,0,0,0,0,25,5,0,0,0,0,25,5,0,0,0,0,25,5,0,0,0,0,25,5,0,0,0,0,25,5,0,0,0,0,25,5,0,0,0,0,25,5,0,0,0,0,25,5,0,0,0,0,25,5,0,0,0,0,25,5,0,0,0,0,25
Value 7,6,0,0,0,0,25,6,0,0,0,0,25,6,0,0,0,0,25,6,0,0,0,0,25,6,0,0,0,0,25,6,0,0,0,0,25,6,0,0,0,0,25,6,0,0,0,0,25,6,0,0,0,0,25,6,0,0,0,0,25,6,0,0,0,0,25,6,0,0,0,0,25,6,0,0,0,0,25,6,0,0,0,0,25,6,0,0,0,0,25,6,0,0,0,0,25,6,0,0,0,0,25,6,0,0,0,0,25,6,0,0,0,0,25,6,0,0,0,0,25,6,0,0,0,0,25,6,0,0,0,0,25,6,0,0,0,0,25,6,0,0,0,0,25,6,0,0,0,0,25,6,0,0,0,0,25,6,0,0,0,0,25,6,0,0,0,0,25,6,0,0,0,0,25,6,0,0,0,0,25,6,0,0,0,0,25,6,0,0,0,0,25,6,0,0,0,0,25,6,0,0,0,0,25,6,0,0,0,0,25,6,0,0,0,0,25,6,0,0,0,0,25,6,0,0,0,0,25,6,0,0,0,0,25,6,0,0,0,0,25,6,0,0,0,0,25,6,0,0,0,0,25,6,0,0,0,0,25,6,0,0,0,0,25,6,0,0,0,0,25,6,0,0,0,0,25,6,0,0,0,0,25,6,0,0,0,0,25
Value 8,7,0,0,0,0,50,7,0,0,0,0,50,7,0,0,0,0,50,7,0,0,0,0,50,7,0,0,0,0,50,7,0,0,0,0,50,7,0,0,0,0,50,7,0,0,0,0,50,7,0,0,0,0,50,7,0,0,0,0,50,7,0,0,0,0,50,7,0,0,0,0,50,7,0,0,0,0,50,7,0,0,0,0,50,7,0,0,0,0,50,7,0,0,0,0,50,7,0,0,0,0,50,7,0,0,0,0,50,7,0,0,0,0,50,7,0,0,0,0,50,7,0,0,0,0,50,7,0,0,0,0,50,7,0,0,0,0,50,7,0,0,0,0,50,7,0,0,0,0,50,7,0,0,0,0,50,7,2,0,10,0,50,7,2,0,10,0,50,7,0,0,0,0,50,7,0,0,0,0,50,7,0,0,0,0,50,7,0,0,0,0,50,7,0,0,0,0,50,7,0,0,0,0,50,7,0,0,0,0,50,7,0,0,0,0,50,7,0,0,0,0,50,7,0,0,0,0,50,7,0,0,0,0,50,7,0,0,0,0,50,7,0,0,0,0,50,7,0,0,0,0,50,7,0,0,0,0,50,7,0,0,0,0,50,7,0,0,0,0,50,7,0,0,0,0,50,7,0,0,0,0,50,7,0,0,0,0,50
Value 9,0,5,0,10,0,25,0,5,0,10,0,25,0,0,0,0,0,25,0,0,0,0,0,25,0,4,0,10,0,25,0,4,0,10,0,25,0,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,0,25
