Port,Group1L,"","","","","",Group1R,"","","","","",Group2L,"","","","","",Group2R,"","","","","",Group3L,"","","","","",Group3R,"","","","","",Group4L,"","","","","",Group4R,"","","","","",Group5L,"","","","","",Group5R,"","","","","",Group6L,"","","","","",Group6R,"","","","","",Group7L,"","","","","",Group7R,"","","","","",Group8L,"","","","","",Group8R,"","","","","",Group9L,"","","","","",Group9R,"","","","","",Group10L,"","","","","",Group10R,"","","","","",Group11L,"","","","","",Group11R,"","","","","",Group12L,"","","","","",Group12R,"","","","","",Group13L,"","","","","",Group13R,"","","","","",Group14L,"","","","","",Group14R,"","","","","",Group15L,"","","","","",Group15R,"","","","","",Group16L,"","","","","",Group16R,"","","","","",Group17L,"","","","","",Group17R,"","","","","",Group18L,"","","","","",Group18R,"","","","","",Group19L,"","","","","",Group19R,"","","","","",Group20L,"","","","","",Group20R,"","","","","",Group21L,"","","","","",Group21R,"","","","","",Group22L,"","","","","",Group22R,"","","","","",Group23L,"","","","","",Group23R,"","","","","",Group24L,"","","","","",Group24R,"","","","",""
Step,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm,TimeStamp,mode,LowBriPrm,UpperBriPrm,OffsTiPm,ConTiPrm
Value 1,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,1,0,5,0,12,0,0,0,0,0,12,0,1,0,5,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12
Value 2,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12
Value 3,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,1,0,5,0,12,2,0,0,0,0,12,2,1,0,5,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12
Value 4,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12
Value 5,4,0,0,0,0,12,4,0,0,0,0,12,4,0,0,0,0,12,4,0,0,0,0,12,4,0,0,0,0,12,4,0,0,0,0,12,4,0,0,0,0,12,4,0,0,0,0,12,4,0,0,0,0,12,4,0,0,0,0,12,4,1,0,5,0,12,4,0,0,0,0,12,4,1,0,5,0,12,4,0,0,0,0,12,4,0,0,0,0,12,4,0,0,0,0,12,4,0,0,0,0,12,4,0,0,0,0,12,4,0,0,0,0,12,4,0,0,0,0,12,4,0,0,0,0,12,4,0,0,0,0,12,4,0,0,0,0,12,4,0,0,0,0,12,4,0,0,0,0,12,4,0,0,0,0,12,4,0,0,0,0,12,4,0,0,0,0,12,4,0,0,0,0,12,4,0,0,0,0,12,4,0,0,0,0,12,4,0,0,0,0,12,4,0,0,0,0,12,4,0,0,0,0,12,4,0,0,0,0,12,4,0,0,0,0,12,4,0,0,0,0,12,4,0,0,0,0,12,4,0,0,0,0,12,4,0,0,0,0,12,4,0,0,0,0,12,4,0,0,0,0,12,4,0,0,0,0,12,4,0,0,0,0,12,4,0,0,0,0,12,4,0,0,0,0,12,4,0,0,0,0,12,4,0,0,0,0,12
Value 6,5,3,0,10,0,160,5,3,0,10,0,160,5,0,0,0,0,160,5,0,0,0,0,160,5,0,0,0,0,160,5,0,0,0,0,160,5,0,0,0,0,160,5,0,0,0,0,160,5,0,0,0,0,160,5,0,0,0,0,160,5,3,0,10,0,160,5,3,0,10,0,160,5,3,0,10,0,160,5,3,0,10,0,160,5,0,0,0,0,160,5,0,0,0,0,160,5,0,0,0,0,160,5,0,0,0,0,160,5,0,0,0,0,160,5,0,0,0,0,160,5,0,0,0,0,160,5,0,0,0,0,160,5,0,0,0,0,160,5,0,0,0,0,160,5,0,0,0,0,160,5,0,0,0,0,160,5,3,0,10,0,160,5,3,0,10,0,160,5,3,0,10,0,160,5,3,0,10,0,160,5,0,0,0,0,160,5,0,0,0,0,160,5,0,0,0,0,160,5,0,0,0,0,160,5,0,0,0,0,160,5,0,0,0,0,160,5,0,0,0,0,160,5,0,0,0,0,160,5,0,0,0,0,160,5,0,0,0,0,160,5,0,0,0,0,160,5,0,0,0,0,160,5,0,0,0,0,160,5,0,0,0,0,160,5,0,0,0,0,160,5,0,0,0,0,160,5,0,0,0,0,160,5,0,0,0,0,160
Value 7,6,0,0,0,0,11,6,0,0,0,0,11,6,0,0,0,0,11,6,0,0,0,0,11,6,0,0,0,0,11,6,0,0,0,0,11,6,2,0,10,0,11,6,2,0,10,0,11,6,2,0,10,0,11,6,2,0,10,0,11,6,0,0,0,0,11,6,0,0,0,0,11,6,0,0,0,0,11,6,0,0,0,0,11,6,0,0,0,0,11,6,0,0,0,0,11,6,0,0,0,0,11,6,0,0,0,0,11,6,0,0,0,0,11,6,0,0,0,0,11,6,0,0,0,0,11,6,0,0,0,0,11,6,0,0,0,0,11,6,0,0,0,0,11,6,0,0,0,0,11,6,0,0,0,0,11,6,0,0,0,0,11,6,0,0,0,0,11,6,0,0,0,0,11,6,0,0,0,0,11,6,0,0,0,0,11,6,0,0,0,0,11,6,0,0,0,0,11,6,0,0,0,0,11,6,0,0,0,0,11,6,0,0,0,0,11,6,0,0,0,0,11,6,0,0,0,0,11,6,0,0,0,0,11,6,0,0,0,0,11,6,0,0,0,0,11,6,0,0,0,0,11,6,0,0,0,0,11,6,0,0,0,0,11,6,0,0,0,0,11,6,0,0,0,0,11,6,0,0,0,0,11,6,0,0,0,0,11
Value 8,7,0,0,0,0,11,7,0,0,0,0,11,7,0,0,0,0,11,7,0,0,0,0,11,7,0,0,0,0,11,7,0,0,0,0,11,7,0,0,0,0,11,7,0,0,0,0,11,7,0,0,0,0,11,7,0,0,0,0,11,7,0,0,0,0,11,7,0,0,0,0,11,7,0,0,0,0,11,7,0,0,0,0,11,7,0,0,0,0,11,7,0,0,0,0,11,7,0,0,0,0,11,7,0,0,0,0,11,7,0,0,0,0,11,7,0,0,0,0,11,7,0,0,0,0,11,7,0,0,0,0,11,7,0,0,0,0,11,7,0,0,0,0,11,7,0,0,0,0,11,7,0,0,0,0,11,7,0,0,0,0,11,7,0,0,0,0,11,7,0,0,0,0,11,7,0,0,0,0,11,7,0,0,0,0,11,7,0,0,0,0,11,7,0,0,0,0,11,7,0,0,0,0,11,7,0,0,0,0,11,7,0,0,0,0,11,7,0,0,0,0,11,7,0,0,0,0,11,7,0,0,0,0,11,7,0,0,0,0,11,7,0,0,0,0,11,7,0,0,0,0,11,7,0,0,0,0,11,7,0,0,0,0,11,7,0,0,0,0,11,7,0,0,0,0,11,7,0,0,0,0,11,7,0,0,0,0,11
Value 9,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,11,0,2,0,10,0,11,0,2,0,10,0,11,0,2,0,10,0,11,0,2,0,10,0,11,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,11
